,external_id,station_id,short_name,eightd_has_key_dispenser,legacy_id,electric_bike_surcharge_waiver,capacity,has_kiosk,rental_methods,name,lon,rental_uris,lat,station_type,eightd_station_services,region_id,region_code,address,dockless_bikes_parking_zone_capacity,rack_model,client_station_id,target_bike_capacity,target_scooter_capacity
15,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,TA1309000003,False,281,False,7,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Western Ave & 24th St,-87.685109,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.84847,classic,[],,,,,,,,
16,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,TA1309000041,False,323,False,19,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Sheridan Rd & Lawrence Ave,-87.654691,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.969517,classic,[],,,,,,,,
17,a3a62aad-a135-11e9-9cda-0a87ae2ba916,a3a62aad-a135-11e9-9cda-0a87ae2ba916,13206,False,146,False,19,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Loomis St & Jackson Blvd,-87.662007,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.877945,classic,[],,,,,,,,
18,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,TA1307000005,False,147,False,15,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Indiana Ave & 26th St,-87.622481,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.845687,classic,[],,,,,,,,
19,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,TA1307000138,False,230,False,19,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Wood St & Webster Ave,-87.67279744148254,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.92105672992757,classic,[],,,,,,,,
20,a3a8855c-a135-11e9-9cda-0a87ae2ba916,a3a8855c-a135-11e9-9cda-0a87ae2ba916,13389,False,245,False,23,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Clarendon Ave & Junior Ter,-87.649603,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.961004,classic,[],,,,,,,,
21,a3b11480-a135-11e9-9cda-0a87ae2ba916,a3b11480-a135-11e9-9cda-0a87ae2ba916,530,False,530,False,11,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Laramie Ave & Kinzie St,-87.755527,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.887832,classic,[],,,,,,,,
22,a3b13836-a135-11e9-9cda-0a87ae2ba916,a3b13836-a135-11e9-9cda-0a87ae2ba916,537,False,537,False,11,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Kenton Ave & Madison St,-87.741018,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.880708,classic,[],,,,,,,,
23,a3ad8072-a135-11e9-9cda-0a87ae2ba916,a3ad8072-a135-11e9-9cda-0a87ae2ba916,KA1503000071,False,423,False,31,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",University Ave & 57th St,-87.599861,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.791478,classic,[],,,,,,,,
24,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,KA1503000065,False,413,False,15,True,"['KEY', 'CREDITCARD', 'TRANSITCARD']",Woodlawn Ave & Lake Park Ave,-87.5970051479,"{'ios': 'https://chi.lft.to/lastmile_qr_scan', 'android': 'https://chi.lft.to/lastmile_qr_scan'}",41.81409271048,classic,[],,,,,,,,
