category,hour,nb_rides
0,0,158.00383141762453
0,1,83.64478764478764
0,2,49.69649805447471
0,3,26.51764705882353
0,4,24.077220077220076
0,5,51.08846153846154
0,6,203.1647509578544
0,7,453.2758620689655
0,8,672.0229885057471
0,9,559.4176245210728
0,10,419.8773946360153
0,11,465.40996168582376
0,12,618.9961685823755
0,13,654.7777777777778
0,14,651.1570881226054
0,15,710.352490421456
0,16,912.2183908045977
0,17,1314.927203065134
0,18,1389.7931034482758
0,19,1076.478927203065
0,20,732.0268199233717
0,21,519.5708812260536
0,22,422.67816091954023
0,23,319.43295019157085
1,0,458.9428571428571
1,1,380.25961538461536
1,2,288.58653846153845
1,3,154.52884615384616
1,4,82.30392156862744
1,5,56.470588235294116
1,6,82.41346153846153
1,7,150.18269230769232
1,8,281.75961538461536
1,9,471.25961538461536
1,10,753.1538461538462
1,11,1007.3653846153846
1,12,1196.0576923076924
1,13,1272.7596153846155
1,14,1311.6634615384614
1,15,1294.6057692307693
1,16,1267.6538461538462
1,17,1202.2596153846155
1,18,1074.8653846153845
1,19,919.4230769230769
1,20,687.9615384615385
1,21,532.5480769230769
1,22,466.71153846153845
1,23,425.21153846153845
